Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,31.995,31.995,31.995,31.995,000,31.0019
2015-12-30,32.095,32.095,31.995,31.995,000,31.0019
2015-12-29,31.334,32.277,31.334,32.277,2700,31.2752
2015-12-28,31.632,31.905,31.632,31.646,1700,30.6638
2015-12-25,32.058,32.058,32.058,32.058,000,31.063
2015-12-24,32.058,32.058,32.058,32.058,000,31.063
2015-12-23,31.782,32.227,31.733,32.058,11400,31.063
2015-12-22,31.294,31.752,31.283,31.752,1700,30.7665
2015-12-21,32.254,32.254,31.294,31.294,6400,30.3227
2015-12-18,32.782,32.855,32.062,32.062,4400,31.0668
2015-12-17,32.249,33.50,32.249,33.329,19000,32.2945
2015-12-16,32.239,32.666,32.239,32.587,300,31.5755
2015-12-15,31.264,32.306,31.264,32.306,900,31.3033
2015-12-14,32.194,32.441,31.37,31.37,2700,30.3963
2015-12-11,31.946,32.535,31.946,32.009,300,31.0155
2015-12-10,32.50,32.631,31.827,31.998,10200,31.0048
2015-12-09,32.752,33.016,32.471,32.846,4400,31.8265
2015-12-08,34.043,34.043,32.929,32.929,1500,31.9069
2015-12-07,33.536,34.107,33.536,33.707,8500,32.6608
2015-12-04,33.165,33.165,32.637,32.927,3800,31.905
2015-12-03,34.963,35.364,33.388,33.39,3500,32.3536
2015-12-02,34.21,34.707,34.21,34.419,3300,33.3507
2015-12-01,33.891,34.117,33.888,33.888,300,32.8362
2015-11-30,33.299,34.071,33.299,34.017,700,32.9612
2015-11-27,33.115,33.558,33.115,33.558,2400,32.5164
2015-11-26,33.01,33.407,33.01,33.281,500,32.248
2015-11-25,32.339,32.557,32.339,32.557,000,31.5465
2015-11-24,32.951,32.951,31.997,32.108,5000,31.1114
2015-11-23,33.289,33.289,32.843,33.14,3600,32.1114
2015-11-20,32.942,32.942,32.707,32.809,3000,31.7907
2015-11-19,32.992,32.992,32.642,32.642,2300,31.6288
2015-11-18,33.18,33.18,32.78,32.78,600,31.7626
2015-11-17,33.018,33.422,33.018,33.327,6100,32.2926
2015-11-16,32.184,32.184,32.184,32.184,000,31.1851
2015-11-13,33.108,33.108,32.499,32.499,1600,31.4903
2015-11-12,33.249,33.249,32.951,32.962,7200,31.9389
2015-11-11,33.005,33.587,33.005,33.587,500,32.5445
2015-11-10,32.772,33.071,32.772,33.071,4800,32.0445
2015-11-09,33.098,33.18,32.863,33.031,3500,32.0058
2015-11-06,34.18,34.52,32.491,33.055,6500,32.029
2015-11-05,33.543,34.377,33.543,34.299,700,33.2344
2015-11-04,33.712,34.035,33.712,34.005,200,32.9495
2015-11-03,34.005,34.005,33.642,33.642,2900,32.5978
2015-11-02,33.936,34.299,33.798,34.299,1400,33.0968
2015-10-30,34.115,34.316,33.927,34.274,3300,33.0727
2015-10-29,33.85,34.455,33.85,34.455,300,33.2473
