Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,302.10,302.10,302.10,302.10,000,292.408
2015-12-30,302.20,303.50,300.50,302.10,1696900,292.408
2015-12-29,299.60,301.90,299.10,301.80,1656300,292.117
2015-12-28,301.40,302.30,297.80,298.20,1136200,288.633
2015-12-25,300.00,300.00,300.00,300.00,000,290.375
2015-12-24,300.00,300.00,300.00,300.00,000,290.375
2015-12-23,298.90,300.80,298.00,300.00,2009400,290.375
2015-12-22,298.70,299.20,295.30,295.60,2007200,286.116
2015-12-21,300.00,303.40,298.10,298.10,2046300,288.536
2015-12-18,301.20,303.30,298.10,299.70,3250500,290.085
2015-12-17,305.10,308.20,300.60,301.50,3146700,291.827
2015-12-16,305.70,306.60,301.50,302.60,3264800,292.892
2015-12-15,294.10,306.30,292.20,305.20,4032600,295.408
2015-12-14,299.70,301.40,295.00,295.50,2945600,286.019
2015-12-11,301.30,304.00,297.70,298.20,3891900,288.633
2015-12-10,307.50,307.50,301.70,302.40,2609600,292.698
2015-12-09,312.20,313.20,304.70,307.00,4471100,297.151
2015-12-08,319.00,319.50,309.50,310.70,3056500,300.732
2015-12-07,319.30,321.70,318.40,319.60,2380500,309.346
2015-12-04,318.20,318.80,314.40,316.30,2452800,306.152
2015-12-03,321.10,327.80,319.00,319.00,4042900,308.766
2015-12-02,322.80,325.60,319.00,324.50,3112400,314.089
2015-12-01,325.00,328.60,324.70,325.70,2165700,315.251
2015-11-30,319.00,324.50,318.40,323.50,2810200,313.121
2015-11-27,318.50,320.50,317.00,319.50,1167000,309.25
2015-11-26,316.30,319.70,315.20,319.00,2208200,308.766
2015-11-25,314.20,319.20,314.10,318.10,2068700,307.894
2015-11-24,318.60,318.90,312.00,312.80,2841100,302.764
2015-11-23,323.10,323.10,318.10,318.70,2019600,308.475
2015-11-20,321.40,323.60,319.90,323.60,2253100,313.218
2015-11-19,323.80,325.60,320.10,320.90,1870000,310.605
2015-11-18,321.50,322.70,320.60,322.50,1750400,312.153
2015-11-17,321.50,323.00,320.30,322.60,2360900,312.25
2015-11-16,317.00,319.80,312.00,318.20,2637200,307.991
2015-11-13,325.50,326.50,320.50,321.30,1745600,310.992
2015-11-12,331.50,331.90,326.00,326.00,1642900,315.541
2015-11-11,331.00,333.60,330.40,331.40,1137400,320.768
2015-11-10,330.10,332.00,326.30,329.80,2295500,319.219
2015-11-09,335.10,336.90,329.60,329.60,1727100,319.025
2015-11-06,338.90,339.10,332.30,335.10,1927000,324.349
2015-11-05,331.80,339.90,331.40,338.40,2938000,327.543
2015-11-04,332.00,332.80,330.00,331.80,2903100,321.155
2015-11-03,331.50,332.30,328.50,330.00,1775000,319.413
2015-11-02,328.90,333.70,325.70,331.10,1580600,320.477
2015-10-30,334.00,335.70,330.70,332.30,862400,321.639
2015-10-29,332.30,334.10,329.60,334.00,1560400,323.284
2015-10-28,331.80,333.50,328.80,331.20,1757100,320.574
2015-10-27,331.90,332.10,328.90,330.30,2263100,319.703
2015-10-26,333.00,334.10,330.90,332.10,2043000,321.445
2015-10-23,328.90,336.90,328.00,333.00,3644400,322.316
2015-10-22,320.40,328.40,318.40,327.30,2640900,316.799
2015-10-21,320.00,323.60,318.60,321.40,1751600,311.089
2015-10-20,317.60,319.70,316.10,319.70,1882700,309.443
2015-10-19,313.70,319.90,313.60,317.00,1880300,306.83
2015-10-16,315.10,315.50,311.90,313.60,2393600,303.539
2015-10-15,316.50,317.00,311.80,313.90,2656600,303.829
2015-10-14,314.60,316.40,313.30,314.70,2099400,304.604
2015-10-13,318.00,319.00,315.60,315.60,2977500,305.475
2015-10-12,311.50,315.70,311.50,314.30,1683800,304.216
2015-10-09,310.90,312.30,308.70,310.80,2400100,300.829
2015-10-08,308.10,310.70,307.20,308.50,1782400,298.602
2015-10-07,309.60,310.70,307.40,308.20,2352100,298.312
2015-10-06,309.30,311.30,307.70,309.20,2000900,299.28
2015-10-05,303.00,308.60,301.90,308.60,2886700,298.699
2015-10-02,301.50,303.00,296.30,299.50,3964200,289.891
2015-10-01,308.10,308.90,297.80,299.50,2967000,289.891
2015-09-30,304.00,306.60,302.00,305.70,3492800,295.892
2015-09-29,297.00,301.70,295.20,299.10,2948300,289.504
2015-09-28,305.00,305.30,299.70,299.70,2333800,290.085
2015-09-25,302.50,307.00,301.70,305.60,3253300,295.795
2015-09-24,312.70,313.00,296.10,298.00,6612600,288.439
2015-09-23,306.00,311.90,305.60,310.40,2707600,300.441
2015-09-22,315.00,315.50,307.10,307.10,2782300,297.247
2015-09-21,311.50,317.10,310.10,315.60,2008200,305.475
2015-09-18,316.00,316.40,311.90,312.60,2768700,302.571
2015-09-17,317.50,318.00,315.10,317.40,1838900,307.217
